model,text_variant,protocol,f1_macro_mean,recall_macro_mean,critical_recall_mean,robust_score,robust_rank
LinearSVC_balanced,masked,light_cv,0.6921750176586811,0.6919028343599601,0.5978828035133615,0.663805698425469,1
LogReg_balanced,masked,light_cv,0.6835490717835251,0.6831166546305357,0.5935102359079796,0.6564076958749646,2
LinearSVC_plain,masked,light_cv,0.6853358350661463,0.6818001645469002,0.564224299406731,0.6479416732125479,3
LogReg_plain,masked,light_cv,0.6747565319870202,0.6704157921052669,0.530149940746918,0.6300723326504636,4
MultinomialNB,masked,light_cv,0.492918349070377,0.5165092850185388,0.3118552931053422,0.4456767130653152,5
LinearSVC_balanced,raw,light_cv,0.7685159259417578,0.7670005846789847,0.6843794093185026,0.7428203685759494,1
LogReg_balanced,raw,light_cv,0.7557896910669649,0.7553707252765399,0.6780570651712026,0.7323442135611087,2
LinearSVC_plain,raw,light_cv,0.7667383226061576,0.7615144301787513,0.6512676886305666,0.7305299646852583,3
LogReg_plain,raw,light_cv,0.7539811124865529,0.7488790311817409,0.6300508748000494,0.7152714167891583,4
MultinomialNB,raw,light_cv,0.5453242604103363,0.5661465430209889,0.3503945640433009,0.4930920362834215,5
LinearSVC_balanced,masked,nested_cv,0.6921750176586811,0.6919028343599601,0.5978828035133615,0.654376477010937,1
LogReg_balanced,masked,nested_cv,0.634042072802193,0.6411656942831478,0.6316471773999685,0.6352212010855897,2
LinearSVC_plain,masked,nested_cv,0.6748862560295247,0.6717798338729987,0.5689440276186088,0.6315774380182005,3
LogReg_plain,masked,nested_cv,0.6747565319870202,0.6704157921052669,0.530149940746918,0.6156116735264534,4
MultinomialNB,masked,nested_cv,0.492918349070377,0.5165092850185388,0.3118552931053422,0.4275704074688116,5
LinearSVC_balanced,raw,nested_cv,0.7685159259417578,0.7670005846789847,0.6843794093185026,0.7344067169136238,1
LogReg_balanced,raw,nested_cv,0.7248855079519281,0.7298264925233834,0.7088810030472043,0.719966001361475,2
LinearSVC_plain,raw,nested_cv,0.7578615796241003,0.7539045816278138,0.6590201975258135,0.7171379273858995,3
LogReg_plain,raw,nested_cv,0.7539811124865529,0.7488790311817409,0.6300508748000494,0.7028783930205079,4
MultinomialNB,raw,nested_cv,0.5453242604103363,0.5661465430209889,0.3503945640433009,0.4735990666467179,5
mental/mental-bert-base-uncased,raw,transformer_test,0.8089135125597232,0.8115062429186756,0.756119966234669,0.788314640101492,1
bert-base-uncased,raw,transformer_test,0.7906818304367291,0.7934950916216378,0.7388648890213019,0.7705177061075399,2
