"model","f1_macro_mean","recall_macro_mean","critical_recall_mean","robust_score","robust_rank","protocol","text_variant"
"LinearSVC_balanced","0.6921750176586811","0.6919028343599601","0.5978828035133615","0.663805698425469","1","light_cv","masked"
"LogReg_balanced","0.6835490717835251","0.6831166546305357","0.5935102359079796","0.6564076958749646","2","light_cv","masked"
"LinearSVC_plain","0.6853358350661463","0.6818001645469002","0.564224299406731","0.6479416732125479","3","light_cv","masked"
"LogReg_plain","0.6747565319870202","0.6704157921052669","0.530149940746918","0.6300723326504636","4","light_cv","masked"
"MultinomialNB","0.492918349070377","0.5165092850185388","0.3118552931053422","0.4456767130653152","5","light_cv","masked"
"LinearSVC_balanced","0.7685159259417578","0.7670005846789847","0.6843794093185026","0.7428203685759494","1","light_cv","raw"
"LogReg_balanced","0.7557896910669649","0.7553707252765399","0.6780570651712026","0.7323442135611087","2","light_cv","raw"
"LinearSVC_plain","0.7667383226061576","0.7615144301787513","0.6512676886305666","0.7305299646852583","3","light_cv","raw"
"LogReg_plain","0.7539811124865529","0.7488790311817409","0.6300508748000494","0.7152714167891583","4","light_cv","raw"
"MultinomialNB","0.5453242604103363","0.5661465430209889","0.3503945640433009","0.4930920362834215","5","light_cv","raw"
