slice_type,label,is_critical,support,recall,f1,length_bucket,f1_macro,recall_macro
class,Autism,False,187,0.6310160427807486,0.7737704918032787,,,
class,Depression,False,282,0.6595744680851063,0.7948717948717948,,,
class,Schizophrenia,True,193,0.6632124352331606,0.7975077881619937,,,
class,Bipolar,True,360,0.7,0.8235294117647058,,,
class,BPD,False,323,0.7616099071207431,0.8646748681898067,,,
class,Anxiety,False,381,0.8320209973753281,0.9083094555873925,,,
class,ADHD,False,376,0.9175531914893617,0.957004160887656,,,
length,,,703,,,short,0.6895018745121118,0.686327697825952
length,,,699,,,medium,0.743733592333099,0.7402885488353756
length,,,700,,,long,0.7896571620072457,0.7766125096547835
