model,text_variant,f1_macro,recall_macro,critical_recall,mcc,brier_score,ece
LinearSVC_balanced,raw,0.7409504176926592,0.7378552917263496,0.6816062176165802,0.7137438143197404,,
LightGBM_balanced,raw,0.7310914607252522,0.7330017811644512,0.6961355785837651,0.7036867625124938,0.3358876338559482,0.021461707018216244
LinearSVC_plain,raw,0.7236106732580979,0.7167593228856762,0.6507052389176742,0.6931532551035894,,
LogReg_plain,raw,0.7159242838310108,0.7054391911205581,0.6232225100748416,0.688227553437418,0.37807895818503007,0.13173097811931178
XGBoost_balanced,raw,0.7124878225930109,0.7178298695204649,0.71213298791019,0.6820862738198739,0.3796130451323539,0.08740295966702567
LogReg_balanced,raw,0.7036909504353368,0.7080654851483803,0.6944516407599309,0.6714649307422829,0.5569785937014468,0.3508245412436719
LinearSVC_balanced,masked,0.6554193531927847,0.6535500303065594,0.5929332181922855,0.6172149241913353,,
LinearSVC_plain,masked,0.6409803088916375,0.6358148665579415,0.5650762809441566,0.5992324016587154,,
LogReg_plain,masked,0.634778484561747,0.6280335228521368,0.5490788716177317,0.6008608159829989,0.4692954377802426,0.11410494988190006
LightGBM_balanced,masked,0.6323024775677218,0.6381481726238648,0.6276266551525619,0.5899299636082201,0.4671947915407774,0.044948810016371715
LogReg_balanced,masked,0.6144179610025707,0.6212029817294863,0.6171560161197467,0.5706429756072662,0.6265812904565838,0.3026257594995947
XGBoost_balanced,masked,0.5910582849054719,0.6006192505495168,0.6162204951065055,0.5420375410426507,0.5321809649295237,0.12140149471450147
MultinomialNB,raw,0.4850785075665401,0.5246054649520834,0.3272956246401842,0.541137002153778,0.5449501039143193,0.09367533901209761
MultinomialNB,masked,0.44243097742419957,0.48534855273576305,0.28934225676453657,0.49129326257712225,0.588846308771885,0.0829033231340103
